Book,Author,Published,Fiction/Nonfiction,Year Read,Rating
Making Money [Discworld #36],Terry Prachett,2007,Fiction,2022,3.5
Going Postal [Discworld #33],Terry Prachett,2004,Fiction,2022,3.75
Black Klansman: A Memoir,Ron Stallworth,2014,Non-Fiction,2022,3.5
Reaper Man [Discworld #11],Terry Prachett,1991,Fiction,2022,3.5
Endgame: Bobby Fischer's Remarkable Rise and Fall - from America's Brightest Prodigy to the Edge of Madness,Frank Brady,2011,Non-Fiction,2022,3.5
Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough and John Helyar,1990,Non-Fiction,2022,4.5
Benjamin Franklin [Lives and Legacies],Edwin S. Gaustad,2005,Non-Fiction,2022,3.5
Night Watch [Discworld #29],Terry Prachett,2002,Fiction,2022,3.5
The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey,2003,Non-Fiction,2022,3.25
Kingdom of Lies: Unnerving Adventures in the World of Cybercrime,Kate Fazzini,2019,Non-Fiction,2022,3
The Old Man and the Sea,Ernest Hemingway,1952,Fiction,2022,3.75
Getting to Yes: Negotiating Agreement Without Giving In,"Roger Fisher, William Ury, Bruce Patton",1981,Non-Fiction,2022,3
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,2016,Non-Fiction,2022,4.5
Let My People Go Surfing: The Education of a Reluctant Businessman--Including 10 More Years of Business Unusual,Yvon Chouinard,2005,Non-Fiction,2022,3.5
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,1997,Non-Fiction,2022,4.25
"A Dog in a Hat: An American Bike Racer's Story of Mud, Drugs, Blood, Betrayal, and Beauty in Belguim",Joe Parkin,2008,Non-Fiction,2022,3.5
Mort [Discworld #4],Terry Prachett,1987,Fiction,2022,3.75
The Psychology of Money,Morgan Housel,2020,Non-Fiction,2022,3.75
The Timothy Leary Project: Inside the Great Counterculture Experiment,Jennifer Ulrich,2018,Non-Fiction,2022,3.25
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,2018,Non-Fiction,2022,4
Tinker Tailor Soldier Spy [George Smiley #5],John Le Carre,1974,Fiction,2022,3.5
Amoralman,Derek Delgaudio,2021,Non-Fiction,2022,3.5
The Obstacle Is The Way,Ryan Holiday,2014,Non-Fiction,2022,4
Small Gods [Discworld #13],Terry Prachett,1992,Fiction,2022,4
Cheddar: A Journey to the Heart of America's Most Iconic Cheese,Gordon Edgar,2015,Non-Fiction,2022,4
The Dark Forest [Remembrance of Earth's Past #2],Cixin Liu,2008,Fiction,2022,4
"Zen Flesh, Zen Bones: A Collection of Zen and Pre-Zen Writings","Paul Reps, Nyogen Senzaki",1957,Non-Fiction,2022,3.75
The Spy Who Came In From The Cold [George Smiley #3],John Le Carre,1963,Fiction,2022,3
Saving Your Future: Basic Principles of Building a Financial Foundation,World System Builder,2015,Non-Fiction,2022,2
The Power of Zero: How to Get to the 0% Tax Bracket and Transform Your Retirement,David McKnight,2015,Non-Fiction,2022,3
"Zen Mind, Beginner's Mind - Informal talks on Zen meditation and practice",Shunryu Suzuki,1970,Non-Fiction,2022,3
Oranges,John McPhee,1967,Non-Fiction,2022,4
A Scanner Darkly,Philip K Dick,1977,Fiction,2022,4
Neuromancer [Sprawl #1],William Gibson,1984,Fiction,2022,3
